model,external_key,pair,value,explanation
claude-haiku-4-5,kreps2020_r0000,pair01_choice,Vaccine A,"Vaccine A has superior efficacy (90% vs 70%), longer protection duration, and FDA full approval; Trump's endorsement is less concerning than China's origin for Vaccine B."
claude-haiku-4-5,kreps2020_r0000,pair02_choice,Vaccine A,Vaccine A's higher efficacy (90% vs 70%) is the decisive factor when all other safety and approval characteristics are identical.
claude-haiku-4-5,kreps2020_r0000,pair03_choice,Vaccine B,Vaccine B's significantly higher efficacy (90% vs 70%) and longer 5-year protection duration outweigh concerns about China's origin since it has full FDA approval.
claude-haiku-4-5,kreps2020_r0000,pair04_choice,Vaccine B,Vaccine B's substantially higher efficacy (90% vs 50%) is more important than the choice of endorser when both have emergency authorization.
claude-haiku-4-5,kreps2020_r0000,pair05_choice,Vaccine A,"Vaccine A offers better efficacy (90% vs 70%) despite higher minor side effect rates, and Biden's endorsement reinforces my comfort with this choice."
claude-haiku-4-5,kreps2020_r0000,pair06_choice,Vaccine B,"Vaccine B provides superior efficacy (90% vs 70%) and longer protection (5 years vs 1 year) with CDC endorsement, making it the stronger choice."
claude-haiku-4-5,kreps2020_r0000,pair07_choice,Vaccine B,Vaccine B's substantially higher efficacy (90% vs 50%) and better side effect profile make it preferable despite the China origin when endorsed by WHO.
claude-haiku-4-5,kreps2020_r0000,pair08_choice,Vaccine A,"Vaccine A's high efficacy (90%), 5-year protection, and US origin with CDC endorsement make it superior to Vaccine B's lower efficacy (50%)."
claude-haiku-4-5,kreps2020_r0000,pair09_choice,Vaccine A,"Vaccine A's much higher efficacy (90% vs 50%), longer protection, and better safety profile override concerns about Trump's endorsement."
claude-haiku-4-5,kreps2020_r0000,pair10_choice,Vaccine B,Vaccine B's significantly higher efficacy (90% vs 50%) and Biden's endorsement make it the better choice despite both being from China.
claude-haiku-4-5,kreps2020_r0000,pair11_choice,Vaccine B,"Vaccine B offers longer protection duration (5 years vs 1 year) while maintaining the same 90% efficacy, though Vaccine A has better safety."
claude-haiku-4-5,kreps2020_r0000,pair12_choice,Vaccine A,Vaccine A's higher efficacy (70% vs 50%) combined with better safety profile and Biden's endorsement makes it preferable.
claude-haiku-4-5,kreps2020_r0000,pair13_choice,Vaccine A,"Vaccine A's longer protection duration (5 years vs 1 year) at the same 90% efficacy is valuable, and Biden's endorsement aligns with my views."
claude-haiku-4-5,kreps2020_r0000,pair14_choice,Vaccine A,Vaccine A's higher efficacy (90% vs 70%) and superior safety profile with emergency authorization make it the better US-origin option.
claude-haiku-4-5,kreps2020_r0000,pair15_choice,Vaccine A,Vaccine A's much higher efficacy (90% vs 50%) outweighs the longer duration of Vaccine B when protection is less effective.
claude-haiku-4-5,kreps2020_r0000,pair16_choice,Vaccine B,"Vaccine B offers higher efficacy (70% vs 50%) and full FDA approval with CDC endorsement, both US-origin options are preferable to Trump's choice."
claude-haiku-4-5,kreps2020_r0000,pair17_choice,Vaccine B,Vaccine B's equal efficacy (70%) but superior 5-year duration and better safety profile with WHO endorsement make it preferable.
claude-haiku-4-5,kreps2020_r0000,pair18_choice,Vaccine B,Vaccine B's much higher efficacy (90% vs 50%) with vice presidential endorsement makes it clearly superior despite emergency authorization.
claude-haiku-4-5,kreps2020_r0000,pair19_choice,Vaccine B,"Vaccine B's exceptional safety profile (1 in 1,000,000 major side effects) and Biden's endorsement make it preferable despite Trump endorsing A."
claude-haiku-4-5,kreps2020_r0000,pair20_choice,Vaccine A,Vaccine A's high efficacy (90%) and WHO endorsement outweigh Vaccine B's longer duration when efficacy is substantially better.
claude-haiku-4-5,kreps2020_r0000,pair21_choice,Vaccine A,Vaccine A's superior 5-year protection and higher baseline efficacy with Biden's endorsement make it preferable to Vaccine B.
claude-haiku-4-5,kreps2020_r0000,pair22_choice,Vaccine A,"Vaccine A's exceptional safety (1 in 1,000,000) and higher efficacy (90%) with Biden's endorsement and full approval make it clearly superior."
claude-haiku-4-5,kreps2020_r0000,pair23_choice,Vaccine A,Vaccine A's longer protection duration (5 years vs 1 year) and WHO endorsement make it preferable at the same efficacy level.
claude-haiku-4-5,kreps2020_r0000,pair24_choice,Vaccine B,Vaccine B's higher efficacy (90% vs 70%) and WHO endorsement with full FDA approval outweigh the slight safety advantage of Vaccine A.
claude-haiku-4-5,kreps2020_r0001,pair01_choice,Vaccine A,Vaccine A has superior efficacy and longer protection despite Trump's endorsement being a minor concern; the FDA approval and much lower side effect risk make it the practical choice.
claude-haiku-4-5,kreps2020_r0001,pair02_choice,Vaccine A,Vaccine A's higher efficacy of 90% versus 70% is the deciding factor when all other parameters are identical.
claude-haiku-4-5,kreps2020_r0001,pair03_choice,Vaccine A,I'm uncomfortable with China-origin vaccines and would prefer the US option endorsed by Biden despite lower efficacy.
claude-haiku-4-5,kreps2020_r0001,pair04_choice,Vaccine B,"Vaccine B's 90% efficacy significantly outweighs the lower 50% efficacy of Vaccine A, making it the better protection choice."
claude-haiku-4-5,kreps2020_r0001,pair05_choice,Vaccine B,"Vaccine B has much lower major side effect risk (1 in 1,000,000 vs 1 in 10,000) which is more important to me than the slightly lower efficacy."
claude-haiku-4-5,kreps2020_r0001,pair06_choice,Vaccine B,Vaccine B's 90% efficacy and 5-year duration significantly outperform Vaccine A's 70% efficacy and 1-year protection.
claude-haiku-4-5,kreps2020_r0001,pair07_choice,Vaccine B,"Vaccine B's 90% efficacy is much stronger than Vaccine A's 50%, and the WHO endorsement is reassuring."
claude-haiku-4-5,kreps2020_r0001,pair08_choice,Vaccine A,"Vaccine A's US origin, higher efficacy, longer protection, and CDC endorsement make it clearly superior to Vaccine B."
claude-haiku-4-5,kreps2020_r0001,pair09_choice,Vaccine A,Vaccine A's significantly higher efficacy (90% vs 50%) and longer protection duration make it the better choice despite Trump's endorsement.
claude-haiku-4-5,kreps2020_r0001,pair10_choice,Vaccine B,Vaccine B's much higher efficacy (90% vs 50%) is more important than my concerns about China origin or Biden endorsement.
claude-haiku-4-5,kreps2020_r0001,pair11_choice,Vaccine A,"Vaccine A has dramatically lower major side effect risk (1 in 1,000,000) and that safety advantage outweighs losing the 5-year duration."
claude-haiku-4-5,kreps2020_r0001,pair12_choice,Vaccine A,"Vaccine A's higher efficacy (70% vs 50%) and much lower major side effect risk (1 in 1,000,000) make it the safer, more effective choice."
claude-haiku-4-5,kreps2020_r0001,pair13_choice,Vaccine A,Vaccine A's longer 5-year protection duration is preferable to Vaccine B's 1-year protection despite the latter's lower major side effect risk.
claude-haiku-4-5,kreps2020_r0001,pair14_choice,Vaccine A,Vaccine A's higher efficacy (90% vs 70%) and extremely low major side effect risk make it the superior choice.
claude-haiku-4-5,kreps2020_r0001,pair15_choice,Vaccine A,Vaccine A's much higher efficacy (90% vs 50%) is the decisive factor even though Vaccine B offers longer protection.
claude-haiku-4-5,kreps2020_r0001,pair16_choice,Vaccine B,Vaccine B's higher efficacy (70% vs 50%) and full FDA approval status make it more reliable than Vaccine A.
claude-haiku-4-5,kreps2020_r0001,pair17_choice,Vaccine B,"Vaccine B's longer 5-year duration and extremely low major side effect risk (1 in 1,000,000) outweigh the equal efficacy."
claude-haiku-4-5,kreps2020_r0001,pair18_choice,Vaccine B,Vaccine B's 90% efficacy is significantly better than Vaccine A's 50% efficacy for the same 1-year duration.
claude-haiku-4-5,kreps2020_r0001,pair19_choice,Vaccine B,"Vaccine B's much lower major side effect risk (1 in 1,000,000 vs 1 in 10,000) is more important than the US origin when efficacy is equal."
claude-haiku-4-5,kreps2020_r0001,pair20_choice,Vaccine A,Vaccine A's high efficacy (90%) and better safety profile make it preferable to Vaccine B's lower 50% efficacy despite different durations.
claude-haiku-4-5,kreps2020_r0001,pair21_choice,Vaccine A,Vaccine A's longer 5-year protection and higher efficacy outweigh Vaccine B's shorter duration despite equal efficacy being lower.
claude-haiku-4-5,kreps2020_r0001,pair22_choice,Vaccine A,"Vaccine A's US origin, full FDA approval, extremely low side effect risk, and equal efficacy make it the clear choice."
claude-haiku-4-5,kreps2020_r0001,pair23_choice,Vaccine A,Vaccine A's 5-year duration is preferable to Vaccine B's 1-year duration despite equal side effect profiles and efficacy.
claude-haiku-4-5,kreps2020_r0001,pair24_choice,Vaccine B,Vaccine B's 90% efficacy and full FDA approval outweigh Vaccine A's lower 70% efficacy despite slightly better side effect profile.
claude-haiku-4-5,kreps2020_r0002,pair01_choice,Vaccine A,"Vaccine A has superior efficacy and duration despite Trump's endorsement, and the FDA approval plus strong safety profile outweigh my concerns about the endorser."
claude-haiku-4-5,kreps2020_r0002,pair02_choice,Vaccine A,Vaccine A's higher efficacy of 90% versus 70% makes it the better choice when other factors are identical.
claude-haiku-4-5,kreps2020_r0002,pair03_choice,Vaccine A,"I trust Biden's endorsement and the US origin more than Trump's endorsement of a Chinese vaccine, even though Vaccine B has better specs."
claude-haiku-4-5,kreps2020_r0002,pair04_choice,Vaccine B,The 90% efficacy and Biden's endorsement make Vaccine B clearly superior despite both being emergency authorized.
claude-haiku-4-5,kreps2020_r0002,pair05_choice,Vaccine B,Vaccine B's dramatically lower major side effect risk outweighs Vaccine A's slightly higher efficacy since both are endorsed by Biden.
claude-haiku-4-5,kreps2020_r0002,pair06_choice,Vaccine B,Vaccine B's higher efficacy and longer protection duration make it the better choice with CDC endorsement.
claude-haiku-4-5,kreps2020_r0002,pair07_choice,Vaccine B,"Vaccine B's 90% efficacy significantly outweighs Vaccine A's 50%, and the WHO endorsement compensates for the China origin."
claude-haiku-4-5,kreps2020_r0002,pair08_choice,Vaccine A,"Vaccine A's US origin, CDC endorsement, 90% efficacy, and longer protection make it clearly superior to Vaccine B."
claude-haiku-4-5,kreps2020_r0002,pair09_choice,Vaccine A,"Despite disliking Trump, Vaccine A's US origin, 90% efficacy, and superior specs outweigh the endorsement concern."
claude-haiku-4-5,kreps2020_r0002,pair10_choice,Vaccine B,Vaccine B's 90% efficacy and Biden's endorsement are decisive advantages over Trump's endorsement of a weaker vaccine.
claude-haiku-4-5,kreps2020_r0002,pair11_choice,Vaccine A,Vaccine A's excellent safety profile with minimal major side effect risk and WHO endorsement make it preferable to Trump's option.
claude-haiku-4-5,kreps2020_r0002,pair12_choice,Vaccine A,"Vaccine A's higher 70% efficacy, better safety profile, and Biden's endorsement make it superior to Vaccine B."
claude-haiku-4-5,kreps2020_r0002,pair13_choice,Vaccine A,Vaccine A's longer 5-year protection with Biden's endorsement is more valuable than Vaccine B's shorter duration despite slightly better safety.
claude-haiku-4-5,kreps2020_r0002,pair14_choice,Vaccine A,Vaccine A's higher 90% efficacy and CDC endorsement with excellent safety make it the better choice.
claude-haiku-4-5,kreps2020_r0002,pair15_choice,Vaccine A,Vaccine A's 90% efficacy and Biden's endorsement outweigh Vaccine B's longer duration with lower protection.
claude-haiku-4-5,kreps2020_r0002,pair16_choice,Vaccine B,Vaccine B's FDA full approval and CDC endorsement are preferable to Trump's endorsement despite lower efficacy.
claude-haiku-4-5,kreps2020_r0002,pair17_choice,Vaccine B,Vaccine B's longer 5-year protection and WHO endorsement are preferable to Trump's endorsement of a weaker option.
claude-haiku-4-5,kreps2020_r0002,pair18_choice,Vaccine B,Vaccine B's superior 90% efficacy and Biden's endorsement make it the clear choice over the weaker option.
claude-haiku-4-5,kreps2020_r0002,pair19_choice,Vaccine B,"Vaccine B's exceptional 1 in 1,000,000 major side effect risk and Biden's endorsement make it preferable despite Trump's option."
claude-haiku-4-5,kreps2020_r0002,pair20_choice,Vaccine A,Vaccine A's 90% efficacy and WHO endorsement make it better than Vaccine B's lower protection and questionable origin.
claude-haiku-4-5,kreps2020_r0002,pair21_choice,Vaccine A,"Vaccine A's superior efficacy, longer protection, and Biden's endorsement clearly outweigh Trump's endorsement of a weaker vaccine."
claude-haiku-4-5,kreps2020_r0002,pair22_choice,Vaccine A,"Vaccine A's full FDA approval, exceptional safety profile, Biden's endorsement, and US origin make it the obvious choice."
claude-haiku-4-5,kreps2020_r0002,pair23_choice,Vaccine A,Vaccine A's longer 5-year protection and WHO endorsement are preferable to Vaccine B despite similar efficacy.
claude-haiku-4-5,kreps2020_r0002,pair24_choice,Vaccine B,Vaccine B's superior 90% efficacy and WHO endorsement outweigh Vaccine A's slightly better safety profile.
claude-haiku-4-5,kreps2020_r0003,pair01_choice,Vaccine A,"Vaccine A has superior efficacy and longer protection despite Trump's endorsement, and the safety profile is acceptable with FDA full approval."
claude-haiku-4-5,kreps2020_r0003,pair02_choice,Vaccine A,Vaccine A's 90% efficacy clearly outperforms Vaccine B's 70% with identical safety profiles and both have CDC endorsement.
claude-haiku-4-5,kreps2020_r0003,pair03_choice,Vaccine A,"I trust Biden's endorsement and a US-origin vaccine more than Trump endorsing a Chinese vaccine, despite lower efficacy."
claude-haiku-4-5,kreps2020_r0003,pair04_choice,Vaccine B,Vaccine B's significantly higher 90% efficacy with Biden's endorsement outweighs the lower protection duration.
claude-haiku-4-5,kreps2020_r0003,pair05_choice,Vaccine A,Higher efficacy at 90% is more important than the marginally better safety profile of Vaccine B when both are endorsed by Biden.
claude-haiku-4-5,kreps2020_r0003,pair06_choice,Vaccine B,Vaccine B's 90% efficacy and 5-year protection is clearly superior to Vaccine A's weaker profile with CDC endorsement.
